시간그룹,승차X좌표,승차Y좌표,타임스탬프,날씨
2023-04-23 12:00:00,127.41897328,36.44987573,1682251200,온흐림
2023-04-23 18:00:00,127.376271008,36.335987292,1682272800,온흐림
2023-04-24 00:00:00,127.39121033214283,36.349069400714285,1682294400,온흐림
2023-04-24 06:00:00,127.40394981214286,36.34654980642857,1682316000,온흐림
2023-04-24 12:00:00,127.37652376333332,36.34136930166667,1682337600,약간의 구름이 낀 하늘
2023-04-24 18:00:00,127.38750527944444,36.34030203333334,1682359200,온흐림
2023-04-25 00:00:00,127.39239049733334,36.35095430866667,1682380800,실 비
2023-04-25 06:00:00,127.403830882,36.328490769333335,1682402400,실 비
2023-04-25 12:00:00,127.38353465058825,36.34992635705882,1682424000,튼구름
2023-04-25 18:00:00,127.38611438285712,36.35480532190476,1682445600,맑음
2023-04-26 00:00:00,127.38145143285716,36.34769940071428,1682467200,실 비
2023-04-26 06:00:00,127.39524642764704,36.342287475294114,1682488800,맑음
2023-04-26 12:00:00,127.3923153988889,36.32748886388889,1682510400,맑음
2023-04-26 18:00:00,127.39083337294116,36.39460219588235,1682532000,맑음
2023-04-27 00:00:00,127.35996692866668,36.35351847733333,1682553600,맑음
2023-04-28 00:00:00,127.37510469428572,36.39375475714286,1682640000,맑음
2023-04-28 06:00:00,127.40778780625,36.35172542875,1682661600,구름조금
2023-04-28 12:00:00,127.3928062982353,36.34703250176471,1682683200,온흐림
2023-04-28 18:00:00,127.39749099941176,36.34439747941176,1682704800,온흐림
2023-04-29 00:00:00,127.386479026,36.341726389,1682726400,실 비
2023-04-29 06:00:00,127.38067163714284,36.35443538928571,1682748000,실 비
2023-04-29 12:00:00,127.388004058,36.331093711,1682769600,튼구름
2023-04-29 18:00:00,127.4172039545,36.339510886,1682791200,튼구름
2023-04-30 00:00:00,127.3749829846154,36.34866418769231,1682812800,맑음
2023-04-30 12:00:00,127.4131497,36.44948597,1682856000,맑음
2023-04-30 18:00:00,127.39070686,36.34206866882353,1682877600,맑음
2023-05-01 00:00:00,127.390947645,36.3355603255,1682899200,맑음
2023-05-01 06:00:00,127.37631473736842,36.34564294842105,1682920800,맑음
